MANUF	FULL MODEL	MODEL	VAR/CONF/GEN/SER	CATEGORY	TYPE	SUB-TYPE	FIRE_MECH	CALIBER	BRL-LEN (in)	MIN-LEN  (in)	MAX-LEN  (in)	WEIGHT (lbs)	TRG-PULL	STOCK	GRIP	ACTION	TWIST (in)	FS (mm)	RS (mm)	SR (mm)	CYCLIC ROF	EFF ROF	EFF-RNG-AREA (m)	EFF-RNG-PT (m)	MOA	FEED-SYS	FEED-LOC	STD-CAP	CLONE	NOTES
IWI	Tavor	Tavor		Rifle	AR	15	SA	.223, 5.56x45	18.1	25.2	28.3	7	11	Fixed	A2	long-stroke, rotating-bolt	1:7									mag-well:btn-release:insert-lock	behind	30		bullpup, can be converted to 9x19, .300, has varied barrel lengths based on model series
LMT	Defender 2000	Defender	2000	Rifle	AR	15	SA	.223, 5.56x45	16	33	36	7.9		Collapsible	A2	gas-operated, direct impingement	1:7									mag-well:btn-release:insert-lock	forward	30		
LWRC International	M6 IC	M6	IC	Rifle	AR	15	SA	.223, 5.56x45	16	33.5	36.5	7.2	5.5-7.5	Collapsible	A2		1:7									mag-well:btn-release:insert-lock	forward	30		
Noveske	N4	N4		Rifle	AR	15	SA	.223, 5.56x45	16.1	28.5	31.75	6.19		Collapsible	A2		1:7									mag-well:btn-release:insert-lock	forward	30		actual barrel length is 14.5 but with permanent attached flash, suppressor it comes to 16in. had to estimate oal
POF-USA	P-15	P-15		Rifle	AR	15	SA	.223, 5.56x45	16.5	32	35.35	6.7	4.5	Collapsible	A2	short-stroke,gas-piston	1:8									mag-well:btn-release:insert-lock	forward	30		
Sig Sauer	MCX	MCX		Rifle	AR	15	SA	.223, 5.56x45, .300 AAC Blackout	16	29	35.7	5.84		Collapsible	A2	short-stroke, gas-operated, gas-piston, rotating-bolt	1:7				800			503		mag-well:btn-release:insert-lock	forward	30		
Smith & Wesson	M&P 15	M&P 15		Rifle	AR	15	SA	.223, 5.56x45	16	35	35	6.45	6	Collapsible	A2		1:8									mag-well:btn-release:insert-lock	forward	30		
Smith & Wesson	M&P 15 Sport	M&P 15	Sport	Rifle	AR	15	SA	.223, 5.56x45	16	35	35	6.45	6	Collapsible	A2		1:8									mag-well:btn-release:insert-lock	forward	30		
Smith & Wesson	M&P 15 Sport II	M&P 15	Sport II	Rifle	AR	15	SA	.223, 5.56x45	16	35	35	6.45	6	Collapsible	A2		1:9									mag-well:btn-release:insert-lock	forward	30		
Sturm, Ruger & Co	AR-556	AR-556		Rifle	AR	15	SA	.223, 5.56x45	16.1	32.75	35.5	6.5	7-10	Collapsible	A2	direct-impement	1:8									mag-well:btn-release:insert-lock	forward	30		
Sturm, Ruger & Co	AR-556 Pistol	AR-556	Pistol	Pistol	AR	15	SA	.223, 5.56x45	10.5	25.3	27.9	6.2	7-10	Brace	A2		1:8									mag-well:btn-release:insert-lock	forward	30		
Sturm, Ruger & Co	SR-556	SR-556		Rifle	AR	15	SA	.223, 5.56x45	16.12	32.75	36	7.1		Collapsible	A2	piston	1:7									mag-well:btn-release:insert-lock	forward	30		
ArmaLite	AR-7	AR-7		Rifle	Carbine		SA	.22 LR	16	35	35			Fixed	MC	blowback								100		mag-well:btn-release:insert-lock	forward	8		developed by eugene stoner but not an ?�AR??firearm
Hi-Point Firearms	995	995		Rifle	Carbine		SA	9x19, .40 S&W, 10mm Auto, .45 ACP, .380 ACP	16.5	32.5	32.5	5.75		Fixed	A2											mag-well:btn-release:insert-lock	forward	10		
Browning	A-Bolt Target	A-Bolt	Target	Rifle			BA	.223 Remington, .308 Winchester, .300 WMS	28	47.75	47.75	13	3-6	Fixed	MC		1:10					15		1000		mag-well-floor:det-hinge-floor:insert-floor	internal	3		uniqued detachable mag that is ?�attached??to a hinged floor. trigger pull can be adjusted with allen wrinch
Marlin	Model 60	Model 60		Rifle	Carbine		SA	.22 LR	22	40.5	40.5	5.5		Fixed	MC	direct-blowback						30				int-tube:rm-tube-plngr:manual-btm	internal	15		
Marlin	Model 336A	Model 336	A	Rifle			LA	.30-30 Winchester, .35 Remington	24	38.5	38.5	7		Fixed	MC		1:10									int-tube:cycle-action:manual-feed-rmp	internal	5, 6		estimated specs based on generic models, multiple variations have varying specs
Marlin	Model 336C	Model 336	C	Rifle			LA	.30-30 Winchester, .35 Remington	20	42.5	42.5	7		Fixed	MC		1:10									int-tube:cycle-action:manual-feed-rmp	internal	5, 6		estimated specs based on generic models, multiple variations have varying specs
Marlin	Model 795	Model 795		Rifle	Carbine		SA	.22 LR	18	37	37	4.5	6.75	Fixed	MC		1:16									mag-well:btn-release:insert-lock	internal	10, 25		
Norinco	SKS Type 56	SKS	Type 56	Rifle	Carbine		SA	7.62x39	20.62	40.16	40.16	8.5		Fixed	MC	short-stroke, gas-operated, tilting-bolt	1:9.449	31.75				35				int-box:drop-floor:manual-top,stripper-clip	forward	10		a 1:240 mm  twist rate
Kalashnikov Concerns	Saiga	Saiga		Rifle	Carbine		SA	7.62x39	16.3	35	35	7.9		Fixed	MC	gas-operated, rotating-bolt								500		mag-well:btn-release:insert-lock	forward	20		
Remington	597	597		Rifle	Carbine		SA	.22 LR, .22 WMR	16.5	34.75	34.75	5.84		Fixed	MC		1:16									mag-well:lvr-release:insert-lock	forward	8, 10		mag capacity depends on .22 LR (10-rnd) or .22 WMR (8-rnd)
Remington	700 ADL	700	ADL	Rifle	Carbine		BA	6mm Remington	24	43.63	43.63	7	3.5	Fixed	MC		1:10									int-blind:hinge-floor:manual-top	internal	3, 4, 5		
Remington	Model 742	Model 742		Rifle	Carbine		SA	.30-06	18.5	39.5	39.5	7.5		Fixed	MC		1:10									mag-well:lvr-release:insert-lock	forward	4		
Savage Arms	Mark II	Mark II		Rifle	Carbine		BA	.22 LR	21	39.5	39.4	6	5.7	Fixed	MC		1:16									mag-well:lvr-release:insert-lock	forward	10		
Sturm, Ruger & Co	10/22	10/22		Rifle	Carbine		SA	.22 LR, .22 WMR	18.5	37	37	5	6	Fixed	MC		1:16									mag-well-rot:lvr-release:insert-lock	forward	10, 16		.17 availabe in 10/17 .22 WMR available in 10/22 Magnum 
Sturm, Ruger & Co	M77	M77		Rifle	Carbine		BA	.22-250 Remington	22	42	42	6.75		Fixed	MC		1:14									int-blind:hinge-floor:manual-top	internal	4		
Sturm, Ruger & Co	Mini-14	Mini-14		Rifle	Carbine		SA	.223, 5.56x45	18.5	38	38	7		Fixed	MC		1:9									mag-well:btn-release:insert-lock	forward	20		Some can only fire .223
Sturm, Ruger & Co	Model 44	Model 44		Rifle	Carbine		SA	.44 Remington Magnum	18.25	36.75	36.75	5.75	6	Fixed	MC	gas-operated, rotating-bolt										int-tube:rel-sng-btm:manual-btm	internal	4		does not really fit defined feed-system codes
Tula	SKS Type 45	SKS	Type 45	Rifle	Carbine		SA	7.62x39	20.62	40.16	40.16	8.5		Fixed	MC	short-stroke, gas-operated, tilting-bolt	1:7.625	31.75				35				mag-well:btn-release:insert-lock	forward	10		in actuallty, it is 1:200 in mm
Universal	M1	M1		Rifle	Carbine		SA	.30 Carbine	18	35.58	35.58	5		Fixed	MC		1:20							270		mag-well:btn-release:insert-lock	forward	15		
Benelli Armi SpA	M4 Super 90	M4 Super 90		Shotgun	single-barrel		SA	12-gauge	18.5	35	35	8.42		Collapsible	A2	gas-operated, rotating-bolt							140	50		int-tube:rel-sng-btm:manual-feed-rmp	internal	5		
Browning	BPS	BPS		Shotgun	single-barrel		PA	12-gauge	26	46.75	46.75	7.69		Fixed	MC											int-tube:rel-sng-btm:manual-btm	internal	4		
Ithaca Gun Company	Model 37	Model 37		Shotgun	single-barrel		PA	12-gauge, 20-gauge	18.5	39.5	39.5	6.7		Fixed	MC											int-tube:rel-sng-btm:manual-btm	internal	5, 8		specifications vary depending on gauge and variants
Mossberg	500	500		Shotgun	single-barrel		PA	12-gauge, 20-gauge, .410-bore	28	47.5	47.5	7.5		Fixed	MC								50	40		int-tube:rel-sng-btm:manual-btm	internal	2, 8		
Mossberg	500 Cruiser	500 Cruiser		Shotgun	single-barrel		PA	12-gauge	18.5	31	31	5.75		N/A	A2											int-tube:rel-sng-btm:manual-btm	internal	6, 8		
